"","title","mon","c"
"416","台風解析・予報情報（３日予報）","2013/01/01",45
"417","特殊気象報","2014/07/01",207
"418","気象警報・注意報","2013/06/01",3371
"419","記録的短時間大雨情報","2013/09/01",20
"420","全般海上警報（臨時）","2013/10/01",104
"421","噴火に関する火山観測報","2013/08/01",281
"422","地方１か月予報","2013/04/01",44
"423","全般海上警報（定時）","2013/01/01",126
"424","JMAXML publishing feed","2013/01/01",10701
"425","土砂災害警戒情報","2013/06/01",34
"426","地方１か月予報","2014/06/01",44
"427","津波警報・注意報・予報","2013/05/01",1
"428","地方３か月予報","2013/05/01",11
"429","全般台風情報（定型）","2014/02/01",1
"430","府県週間天気予報","2014/02/01",3140
"431","台風解析・予報情報（５日予報）","2014/07/01",26
"432","府県気象情報","2013/07/01",970
"433","地方１か月予報","2014/03/01",44
"434","全般台風情報（詳細）","2013/10/01",55
"435","異常天候早期警戒情報","2014/03/01",50
"436","火山現象に関する海上警報・海上予報","2014/06/01",1
"437","紫外線観測データ","2012/12/01",5
"438","府県天気予報","2013/11/01",5836
"439","スモッグ気象情報","2013/09/01",8
"440","震度速報","2014/06/01",23
"441","東海地震観測情報","2014/04/01",1
"442","地方海上予報","2014/03/01",747
"443","異常天候早期警戒情報","2014/06/01",13
"444","地方３か月予報","2014/02/01",11
"445","震源・震度に関する情報","2014/01/01",147
"446","地方気象情報","2013/11/01",104
"447","竜巻注意情報","2014/01/01",14
"448","土砂災害警戒情報","2013/08/01",239
"449","震度速報","2014/03/01",18
"450","府県週間天気予報","2013/05/01",3475
"451","全般１か月予報","2014/07/01",2
"452","全般潮位情報","2013/04/01",2
"453","東海地震観測情報","2013/03/01",1
"454","地方海上予報","2014/06/01",720
"455","噴火に関する火山観測報","2013/06/01",37
"456","異常天候早期警戒情報","2013/04/01",28
"457","府県天気概況","2013/07/01",7795
"458","地方気象情報","2014/04/01",41
"459","府県天気予報","2013/03/01",5749
"460","全般潮位情報","2014/06/01",2
"461","地方海上予報","2013/04/01",724
"462","指定河川洪水予報","2013/09/01",472
"463","全般気象情報","2014/07/01",9
"464","地方海上警報","2013/07/01",754
"465","地方気象情報","2013/03/01",95
"466","府県天気予報","2014/04/01",5566
"467","気象警報・注意報","2013/08/01",5253
"468","全般潮位情報","2014/03/01",1
"469","震度速報","2013/04/01",45
"470","東海地震観測情報","2013/11/01",1
"471","土砂災害警戒情報","2014/07/01",108
"472","地方海上警報","2013/01/01",1129
"473","全般１か月予報","2013/08/01",5
"474","全般潮位情報","2013/10/01",3
"475","火山の状況に関する解説情報","2013/02/01",17
"476","火山の状況に関する解説情報","2013/09/01",20
"477","台風解析・予報情報（５日予報）","2013/06/01",21
"478","府県天気概況","2013/01/01",6488
"479","府県天候情報","2013/07/01",29
"480","全般週間天気予報","2013/02/01",30
"481","地方週間天気予報","2013/02/01",621
"482","全般週間天気予報","2013/09/01",38
"483","地方週間天気予報","2013/09/01",675
"484","震源・震度に関する情報","2013/05/01",202
"485","気象警報・注意報","2014/07/01",1998
"486","特殊気象報","2013/06/01",46
"487","竜巻注意情報","2013/05/01",20
"488","震度速報","2013/10/01",27
"489","地方１か月予報","2014/05/01",55
"490","府県週間天気予報","2014/01/01",3478
"491","地方天候情報","2013/12/01",1
"492","全般台風情報（定型）","2014/01/01",2
"493","地方海上予報","2013/10/01",746
"494","全般気象情報","2013/08/01",36
"495","異常天候早期警戒情報","2013/10/01",35
"496","地方１か月予報","2013/10/01",55
"497","震度速報","2014/05/01",17
"498","全般気象情報","2013/06/01",11
"499","竜巻注意情報","2014/02/01",36
"500","地方３か月予報","2014/01/01",11
"501","震源・震度に関する情報","2014/02/01",147
"502","火山の状況に関する解説情報","2013/12/01",16
"503","府県気象情報","2013/01/01",531
"504","噴火に関する火山観測報","2014/07/01",26
"505","府県潮位情報","2013/03/01",11
"506","全般海上警報（定時）","2013/07/01",124
"507","特殊気象報","2013/08/01",31
"508","地方海上予報","2014/05/01",750
"509","全般週間天気予報","2013/12/01",34
"510","地方週間天気予報","2013/12/01",693
"511","異常天候早期警戒情報","2014/05/01",13
"512","気象特別警報・警報・注意報","2013/08/01",1734
"513","府県潮位情報","2014/04/01",4
"514","JMAXML publishing feed","2013/07/01",15315
"515","全般潮位情報","2014/05/01",2
"516","台風解析・予報情報（５日予報）","2013/08/01",63
"517","地方天候情報","2013/09/01",3
"518","全般海上警報（臨時）","2014/03/01",15
"519","府県潮位情報","2013/11/01",21
"520","全般１か月予報","2013/06/01",4
"521","府県海氷予報","2013/01/01",61
"522","津波情報a","2014/07/01",6
"523","台風解析・予報情報（３日予報）","2013/07/01",147
"524","記録的短時間大雨情報","2013/08/01",28
"525","地方海上警報","2014/01/01",1067
"526","台風解析・予報情報（３日予報）","2014/02/01",27
"527","府県天候情報","2013/05/01",16
"528","生物季節観測","2013/11/01",115
"529","指定河川洪水予報","2013/06/01",39
"530","地方潮位情報","2013/10/01",8
"531","噴火に関する火山観測報","2013/09/01",279
"532","府県天気概況","2014/01/01",6504
"533","噴火に関する火山観測報","2013/02/01",241
"534","紫外線観測データ","2013/10/01",527
"535","全般台風情報（定型）","2013/01/01",1
"536","生物季節観測","2014/04/01",308
"537","府県週間天気予報","2013/01/01",3474
"538","震源・震度に関する情報","2013/07/01",215
"539","竜巻注意情報","2013/07/01",414
"540","気象警報・注意報","2013/12/01",3548
"541","JMAXML publishing feed","2014/02/01",9864
"542","スモッグ気象情報","2013/06/01",7
"543","生物季節観測","2013/03/01",271
"544","全般海上警報（定時）","2014/02/01",113
"545","地方天候情報","2014/07/01",1
"546","全般３か月予報","2013/11/01",1
"547","震源に関する情報","2014/06/01",17
"548","紫外線観測データ","2014/05/01",527
"549","府県気象情報","2014/01/01",277
"550","スモッグ気象情報","2013/08/01",94
"551","全般週間天気予報","2014/07/01",15
"552","地方週間天気予報","2014/07/01",279
"553","地方３か月予報","2013/01/01",11
"554","顕著な地震の震源要素更新のお知らせ","2014/03/01",1
"555","地震の活動状況等に関する情報","2013/04/01",3
"556","JMAXML publishing feed","2013/05/01",9343
"557","震源に関する情報","2014/03/01",10
"558","土砂災害警戒情報","2013/09/01",357
"559","火山の状況に関する解説情報","2014/07/01",8
"560","全般暖・寒候期予報","2013/02/01",1
"561","全般海上警報（定時）","2013/05/01",124
"562","噴火に関する火山観測報","2013/12/01",110
"563","全般暖・寒候期予報","2013/09/01",1
"564","全般３か月予報","2013/03/01",1
"565","指定河川洪水予報","2013/08/01",65
"566","津波警報・注意報・予報a","2014/07/01",3
"567","全般スモッグ気象情報","2014/05/01",1
"568","顕著な地震の震源要素更新のお知らせ","2013/04/01",1
"569","震源に関する情報","2013/04/01",22
"570","全般３か月予報","2014/04/01",1
"571","気象警報・注意報","2013/02/01",3420
"572","地震の活動状況等に関する情報","2014/03/01",1
"573","記録的短時間大雨情報","2013/06/01",1
"574","気象警報・注意報","2013/09/01",3644
"575","地方潮位情報","2014/05/01",2
"576","府県海氷予報","2014/01/01",33
"577","火山の状況に関する解説情報","2013/08/01",16
"578","台風解析・予報情報（３日予報）","2014/01/01",56
"579","府県天気概況","2014/02/01",5897
"580","全般１か月予報","2013/09/01",4
"581","地震の活動状況等に関する情報","2013/10/01",1
"582","全般１か月予報","2013/02/01",4
"583","全般週間天気予報","2013/08/01",42
"584","地方週間天気予報","2013/08/01",691
"585","気象特別警報・警報・注意報","2013/12/01",3548
"586","地方天候情報","2013/06/01",16
"587","地方海上警報","2014/02/01",1088
"588","特殊気象報","2013/12/01",197
"589","スモッグ気象情報","2014/07/01",10
"590","JMAXML publishing feed","2014/01/01",10232
"591","全般海上警報（定時）","2014/01/01",124
"592","震源に関する情報","2013/10/01",18
"593","全般台風情報","2013/07/01",12
"594","府県気象情報","2013/05/01",123
"595","全般気象情報","2013/09/01",10
"596","指定河川洪水予報","2014/07/01",63
"597","全般気象情報","2013/02/01",10
"598","地方３か月予報","2013/07/01",11
"599","地方潮位情報","2013/04/01",3
"600","全般１か月予報","2013/12/01",4
"601","震源に関する情報","2014/05/01",14
"602","紫外線観測データ","2014/06/01",510
"603","府県週間天気予報","2013/07/01",3475
"604","府県気象情報","2014/02/01",680
"605","顕著な地震の震源要素更新のお知らせ","2014/05/01",1
"606","気象特別警報・警報・注意報","2013/09/01",3644
"607","全般天候情報","2013/04/01",1
"608","地方海上予報","2012/12/01",12
"609","全般台風情報（定型）","2013/07/01",53
"610","記録的短時間大雨情報","2014/07/01",1
"611","噴火警報・予報","2013/07/01",2
"612","特殊気象報","2013/09/01",197
"613","紫外線観測データ","2014/03/01",527
"614","特殊気象報","2013/02/01",129
"615","震源・震度に関する情報","2013/01/01",188
"616","府県天候情報","2014/01/01",4
"617","全般週間天気予報","2013/06/01",39
"618","地方週間天気予報","2013/06/01",672
"619","地方潮位情報","2014/03/01",3
"620","地方天候情報","2013/08/01",15
"621","府県海氷予報","2014/02/01",86
"622","台風解析・予報情報（５日予報）","2013/09/01",56
"623","地震の活動状況等に関する情報","2014/05/01",1
"624","府県天気概況","2013/05/01",6361
"625","地方潮位情報","2014/06/01",5
"626","火山の状況に関する解説情報","2013/06/01",22
"627","紫外線観測データ","2013/04/01",502
"628","地方海上警報","2013/05/01",883
"629","全般気象情報","2013/12/01",28
"630","台風解析・予報情報（３日予報）","2013/10/01",530
"631","府県海氷予報","2014/03/01",92
"632","季節観測","2013/01/01",8
"633","地方潮位情報","2014/02/01",1
"634","府県天気予報","2013/12/01",5906
"635","地方高温注意情報","2013/06/01",7
"636","生物季節観測","2013/08/01",94
"637","地方暖・寒候期予報","2013/09/01",11
"638","全般海上警報（臨時）","2013/01/01",5
"639","府県気象情報","2013/04/01",542
"640","地方気象情報","2013/12/01",173
"641","地方暖・寒候期予報","2013/02/01",11
"642","JMAXML publishing feed","2013/10/01",12271
"643","府県海氷予報","2013/04/01",21
"644","全般海上警報（定時）","2013/10/01",125
"645","震源に関する情報","2014/01/01",10
"646","府県気象情報","2014/06/01",595
"647","紫外線観測データ","2014/02/01",475
"648","東海地震観測情報","2013/12/01",1
"649","全般３か月予報","2013/06/01",1
"650","地方１か月予報","2013/07/01",44
"651","府県気象情報","2014/03/01",390
"652","異常天候早期警戒情報","2013/07/01",29
"653","府県天気概況","2013/04/01",6677
"654","全般３か月予報","2013/08/01",1
"655","JMAXML publishing feed","2014/05/01",10478
"656","全般海上警報（定時）","2014/05/01",126
"657","府県天気予報","2013/09/01",6059
"658","地方海上予報","2013/07/01",748
"659","府県天気予報","2013/02/01",5339
"660","指定河川洪水予報","2014/04/01",9
"661","紫外線観測データ","2013/05/01",527
"662","地方海上警報","2013/04/01",1149
"663","震度速報","2013/07/01",28
"664","地方気象情報","2013/09/01",216
"665","地方気象情報","2013/02/01",72
"666","地方海上警報","2014/06/01",831
"667","指定河川洪水予報","2013/11/01",2
"668","生物季節観測","2013/06/01",82
"669","府県天気概況","2014/03/01",6752
"670","台風解析・予報情報（３日予報）","2014/05/01",3
"671","地方潮位情報","2013/05/01",5
"672","東海地震観測情報","2013/09/01",1
"673","地方海上警報","2014/03/01",1188
"674","スモッグ気象情報","2014/04/01",2
"675","東海地震観測情報","2013/02/01",1
"676","府県天気概況","2014/06/01",7238
"677","全般天候情報","2013/05/01",1
"678","全般潮位情報","2013/07/01",2
"679","地方高温注意情報","2013/08/01",159
"680","火山の状況に関する解説情報","2013/11/01",10
"681","津波警報・注意報・予報a","2014/04/01",2
"682","全般天候情報","2014/01/01",1
"683","地方海上警報","2013/10/01",1105
"684","全般潮位情報","2013/01/01",2
"685","全般週間天気予報","2013/11/01",31
"686","地方週間天気予報","2013/11/01",664
"687","府県天気概況","2013/10/01",6600
"688","地方潮位情報","2014/01/01",3
"689","府県海氷予報","2014/05/01",21
"690","火山の状況に関する解説情報","2013/03/01",20
"691","地方高温注意情報","2014/07/01",12
"692","全般週間天気予報","2014/04/01",31
"693","地方週間天気予報","2014/04/01",666
"694","府県潮位情報","2013/12/01",9
"695","府県気象情報","2014/05/01",201
"696","紫外線観測データ","2014/01/01",527
"697","府県高温注意情報","2013/09/01",30
"698","震度速報","2013/01/01",27
"699","震源・震度に関する情報","2012/12/01",1
"700","火山の状況に関する解説情報","2014/04/01",9
"701","全般週間天気予報","2013/03/01",35
"702","地方週間天気予報","2013/03/01",658
"703","異常天候早期警戒情報","2013/01/01",24
"704","地方海上予報","2013/01/01",746
"705","震源に関する情報","2014/02/01",14
"706","府県天候情報","2013/04/01",13
"707","府県気象情報","2013/10/01",950
"708","全般海上警報（定時）","2014/06/01",120
"709","顕著な地震の震源要素更新のお知らせ","2013/05/01",1
"710","全般台風情報（詳細）","2013/07/01",13
"711","地方１か月予報","2013/01/01",44
"712","JMAXML publishing feed","2014/06/01",12611
"713","生物季節観測","2014/07/01",75
"714","全般海上警報（定時）","2014/03/01",126
"715","気象特別警報報知","2014/07/01",23
"716","JMAXML publishing feed","2014/03/01",11241
"717","震源に関する情報","2013/05/01",20
"718","府県潮位情報","2013/09/01",31
"719","府県潮位情報","2013/02/01",8
"720","地方天候情報","2013/11/01",1
"721","地方海上警報","2014/05/01",1015
"722","台風解析・予報情報（３日予報）","2014/06/01",33
"723","全般海上警報（臨時）","2013/07/01",23
"724","全般海上警報（定時）","2013/04/01",119
"725","JMAXML publishing feed","2013/04/01",11797
"726","地震の活動状況等に関する情報","2013/05/01",1
"727","府県天気概況","2014/05/01",6680
"728","台風解析・予報情報（３日予報）","2014/03/01",42
"729","全般潮位情報","2014/01/01",2
"730","気象特別警報報知","2013/09/01",7
"731","竜巻注意情報","2013/04/01",46
"732","東海地震観測情報","2013/06/01",1
"733","全般３か月予報","2013/12/01",1
"734","震源・震度に関する情報","2013/04/01",266
"735","季節観測","2014/02/01",1
"736","地方潮位情報","2013/01/01",2
"737","噴火に関する火山観測報","2013/11/01",128
"738","生物季節観測","2013/09/01",85
"739","生物季節観測","2013/02/01",72
"740","津波情報a","2014/04/01",13
"741","震度速報","2014/01/01",13
"742","地方気象情報","2013/06/01",126
"743","噴火警報・予報","2013/10/01",2
"744","地方３か月予報","2014/05/01",11
"745","噴火に関する火山観測報","2014/04/01",51
"746","震源・震度に関する情報","2014/03/01",167
"747","紫外線観測データ","2013/01/01",526
"748","全般台風情報（定型）","2013/10/01",256
"749","府県週間天気予報","2013/10/01",3459
"750","竜巻注意情報","2014/03/01",29
"751","府県天気予報","2013/06/01",6121
"752","地方海上予報","2014/01/01",745
"753","府県潮位情報","2014/07/01",20
"754","噴火に関する火山観測報","2013/03/01",135
"755","震源・震度に関する情報","2014/06/01",150
"756","異常天候早期警戒情報","2014/01/01",25
"757","竜巻注意情報","2014/06/01",110
"758","地方３か月予報","2013/10/01",11
"759","津波警報・注意報・予報","2013/10/01",3
"760","府県天気予報","2013/08/01",6932
"761","地方１か月予報","2014/01/01",55
"762","全般３か月予報","2013/02/01",1
"763","全般台風情報","2013/10/01",58
"764","気象警報・注意報","2014/04/01",3369
"765","全般海上警報（定時）","2012/12/01",1
"766","府県週間天気予報","2014/05/01",3472
"767","全般３か月予報","2013/09/01",1
"768","地方気象情報","2013/08/01",300
"769","震源に関する情報","2013/07/01",23
"770","気象警報・注意報","2013/03/01",3812
"771","生物季節観測","2013/12/01",111
"772","土砂災害警戒情報","2014/04/01",4
"773","地方高温注意情報","2013/09/01",5
"774","気象警報・注意報","2013/11/01",3637
"775","府県高温注意情報","2014/07/01",74
"776","東海地震観測情報","2013/08/01",1
"777","津波情報","2013/10/01",6
"778","全般気象情報","2014/04/01",7
"779","全般１か月予報","2013/11/01",5
"780","季節観測","2014/01/01",10
"781","地方気象情報","2014/07/01",200
"782","全般気象情報","2013/03/01",17
"783","全般潮位情報","2014/02/01",1
"784","府県潮位情報","2013/06/01",19
"785","津波警報・注意報・予報","2013/04/01",3
"786","府県天気予報","2014/07/01",2652
"787","地方海上予報","2014/02/01",678
"788","震源に関する情報","2013/01/01",20
"789","府県高温注意情報","2013/08/01",797
"790","全般１か月予報","2013/03/01",5
"791","全般台風情報","2014/06/01",5
"792","府県気象情報","2012/12/01",9
"793","異常天候早期警戒情報","2014/02/01",27
"794","地方３か月予報","2014/06/01",11
"795","震源・震度に関する情報","2014/05/01",184
"796","竜巻注意情報","2014/05/01",100
"797","震度速報","2014/02/01",17
"798","全般気象情報","2013/11/01",18
"799","全般１か月予報","2014/04/01",4
"800","地方１か月予報","2013/05/01",55
"801","地方３か月予報","2014/03/01",11
"802","府県週間天気予報","2014/06/01",3358
"803","全般台風情報（定型）","2014/06/01",15
"804","地方海上予報","2013/05/01",749
"805","異常天候早期警戒情報","2013/05/01",17
"806","噴火警報・予報","2014/06/01",3
"807","地方１か月予報","2014/02/01",44
"808","府県高温注意情報","2013/06/01",43
"809","震度速報","2013/05/01",22
"810","府県週間天気予報","2014/03/01",3472
"811","竜巻注意情報","2013/10/01",54
"812","特殊気象報","2013/11/01",159
"813","台風解析・予報情報（５日予報）","2014/04/01",26
"814","震源・震度に関する情報","2013/10/01",167
"815","気象特別警報・警報・注意報","2013/11/01",3637
"816","噴火警報・予報","2014/03/01",1
"817","紫外線観測データ","2013/07/01",527
"818","台風解析・予報情報（５日予報）","2013/11/01",27
"819","特殊気象報","2014/04/01",30
"820","地方潮位情報","2013/07/01",5
"821","気象特別警報・警報・注意報","2014/04/01",3369
"822","地方海上警報","2012/12/01",11
"823","府県潮位情報","2013/08/01",40
"824","全般潮位情報","2013/05/01",2
"825","全般天候情報","2013/07/01",3
"826","府県週間天気予報","2013/04/01",3254
"827","特殊気象報","2013/03/01",463
"828","府県天気概況","2012/12/01",69
